Wall time,Step,Value
1686225047.299276,0,0.48372605443000793
1686225052.185453,1,0.5459650158882141
1686225057.728083,2,0.5585940480232239
1686225062.418644,3,0.5668689608573914
1686225066.856618,4,0.5756757855415344
1686225071.420161,5,0.5820395350456238
1686225075.81505,6,0.5864725112915039
1686225080.656422,7,0.5891520380973816
1686225085.24734,8,0.5927181243896484
1686225090.783953,9,0.5957719087600708
1686225096.524121,10,0.5993379950523376
1686225102.393658,11,0.6025494337081909
1686225108.075335,12,0.6101741790771484
1686225112.73714,13,0.6103121042251587
1686225117.040203,14,0.6125975251197815
